epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.85402,0.9785,3.9841,1.16493,0.06975,0.43808,0.11948,0.1158,0.61147,3.82431,0.92754,6.875e-05,6.875e-05,6.875e-05
2,2.70711,0.69679,3.56827,0.9798,0.05541,0.64665,0.28808,0.26393,0.52183,3.65694,0.84106,0.000142327,0.000142327,0.000142327
3,3.55166,0.62089,3.10473,0.93902,0.03245,0.67443,0.48851,0.44593,0.48989,3.54338,0.82163,0.000214419,0.000214419,0.000214419
4,4.39197,0.59576,2.48362,0.92563,0.03164,0.73468,0.61978,0.58307,0.57295,3.33801,0.85911,0.000285026,0.000285026,0.000285026
5,5.22642,0.62395,1.89208,0.93198,0.03655,0.92014,0.8275,0.71927,0.49956,3.03759,0.8466,0.000354147,0.000354147,0.000354147
6,6.06393,0.58149,1.42044,0.90933,1,0.15039,0.91643,0.81365,0.48985,2.51936,0.84786,0.000421784,0.000421784,0.000421784
7,6.87781,0.56826,1.1223,0.90573,0.9551,0.61072,0.94101,0.84971,0.46778,1.91574,0.84045,0.000487936,0.000487936,0.000487936
8,7.70173,0.53481,0.94811,0.87997,0.90178,0.80816,0.94434,0.84874,0.46258,1.32082,0.8413,0.000552603,0.000552603,0.000552603
9,8.51755,0.50074,0.83172,0.87421,0.81657,0.94792,0.93778,0.84276,0.43563,0.83638,0.82354,0.0005755,0.0005755,0.0005755
10,9.32467,0.51118,0.78528,0.88433,0.84272,0.94792,0.93956,0.86571,0.39622,0.74,0.81955,0.000569313,0.000569313,0.000569313
11,10.1503,0.45047,0.70149,0.85764,0.86523,0.94792,0.93926,0.8567,0.40626,0.629,0.81756,0.000563125,0.000563125,0.000563125
12,10.9457,0.43363,0.64995,0.85534,0.88789,0.93818,0.946,0.84641,0.39559,0.55265,0.81563,0.000556938,0.000556938,0.000556938
13,11.7455,0.42133,0.61351,0.8526,0.89343,0.94102,0.94905,0.86905,0.38761,0.50785,0.81201,0.00055075,0.00055075,0.00055075
14,12.5872,0.4163,0.59451,0.8523,0.94014,0.93237,0.94852,0.86677,0.36897,0.47856,0.8033,0.000544563,0.000544563,0.000544563
15,13.3853,0.40472,0.56357,0.84222,0.9644,0.92622,0.94736,0.85456,0.39873,0.46956,0.80811,0.000538375,0.000538375,0.000538375
16,14.1963,0.38631,0.52281,0.84094,0.96458,0.93204,0.94862,0.86342,0.4169,0.46565,0.81279,0.000532187,0.000532187,0.000532187
17,14.9965,0.39958,0.50358,0.84424,0.95164,0.93914,0.94753,0.8727,0.36945,0.44748,0.81008,0.000526,0.000526,0.000526
18,15.8053,0.38976,0.5061,0.84831,0.95106,0.92684,0.94313,0.85959,0.35984,0.43946,0.80641,0.000519812,0.000519812,0.000519812
19,16.6223,0.37386,0.49563,0.83761,0.93789,0.93804,0.9435,0.86066,0.3578,0.41703,0.80644,0.000513625,0.000513625,0.000513625
20,17.4498,0.36067,0.49124,0.82908,0.95484,0.92981,0.9418,0.86387,0.35745,0.42293,0.81269,0.000507438,0.000507438,0.000507438
21,18.2583,0.34801,0.45111,0.83422,0.95564,0.93795,0.94015,0.86451,0.33835,0.42076,0.80347,0.00050125,0.00050125,0.00050125
22,19.0625,0.3518,0.45752,0.83412,0.95871,0.92995,0.93514,0.86534,0.34783,0.41859,0.80708,0.000495063,0.000495063,0.000495063
23,19.8601,0.35018,0.4508,0.82623,0.96615,0.9344,0.93555,0.86244,0.35398,0.40974,0.80756,0.000488875,0.000488875,0.000488875
24,20.6589,0.34535,0.44946,0.84102,0.96531,0.94526,0.94627,0.86355,0.36996,0.43995,0.81594,0.000482687,0.000482687,0.000482687
25,21.4693,0.33598,0.43795,0.83552,0.96649,0.94792,0.946,0.86164,0.3489,0.41198,0.81317,0.0004765,0.0004765,0.0004765
26,22.2917,0.33676,0.43315,0.83298,0.954,0.93947,0.93557,0.86066,0.33963,0.41332,0.80745,0.000470312,0.000470312,0.000470312
27,23.0993,0.32807,0.40597,0.82963,0.93656,0.93659,0.93707,0.85655,0.32513,0.40528,0.80753,0.000464125,0.000464125,0.000464125
28,23.9189,0.32906,0.43325,0.83554,0.96377,0.9463,0.93895,0.8572,0.32624,0.40505,0.80867,0.000457938,0.000457938,0.000457938
29,24.7363,0.31141,0.41055,0.82645,0.97359,0.9431,0.9517,0.85693,0.33028,0.40926,0.80861,0.00045175,0.00045175,0.00045175
30,25.5398,0.3084,0.40196,0.82981,0.97034,0.94792,0.95069,0.861,0.31995,0.38523,0.80451,0.000445562,0.000445562,0.000445562
31,26.369,0.31993,0.41007,0.84112,0.97203,0.94729,0.94202,0.86608,0.31966,0.38988,0.805,0.000439375,0.000439375,0.000439375
32,27.264,0.32289,0.42017,0.83107,0.9599,0.93691,0.94274,0.86439,0.32933,0.40741,0.80235,0.000433187,0.000433187,0.000433187
