epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.89366,1.10216,3.29169,1.34991,0.67066,0.62583,0.65127,0.51663,0.94529,1.49846,1.23626,0.0707317,0.00325203,0.00325203
2,9.18456,0.80183,1.12311,1.11777,0.92166,0.88242,0.92128,0.74338,0.74461,0.80121,1.0711,0.0406922,0.00654585,0.00654585
3,13.5313,0.79249,0.85491,1.0867,0.91001,0.91144,0.94409,0.75539,0.74758,0.82238,1.07665,0.0106127,0.00979967,0.00979967
4,17.763,0.80478,0.78792,1.08821,0.95099,0.80488,0.93377,0.76136,0.73678,0.71832,1.05134,0.00982,0.00982,0.00982
5,22.0463,0.75441,0.68836,1.05017,0.89959,0.87451,0.9307,0.7251,0.87687,0.70987,1.09943,0.00976,0.00976,0.00976
6,26.3352,0.78132,0.59401,1.0556,0.89505,0.91717,0.94288,0.72746,0.79747,0.64891,1.06351,0.0097,0.0097,0.0097
7,30.709,0.74155,0.57215,1.03813,0.97487,0.93592,0.96637,0.79239,0.67968,0.45995,1.00937,0.00964,0.00964,0.00964
8,34.9338,0.70051,0.52785,1.01876,0.95751,0.86281,0.9283,0.7398,0.78709,0.64108,1.09997,0.00958,0.00958,0.00958
9,39.1401,0.6629,0.49362,1.00109,0.98422,0.93841,0.9683,0.82226,0.58943,0.42884,0.96243,0.00952,0.00952,0.00952
10,43.4178,0.66488,0.4735,1.00473,0.98116,0.94492,0.97202,0.83687,0.60302,0.40371,0.97143,0.00946,0.00946,0.00946
11,47.6272,0.66139,0.47393,0.99832,0.98108,0.94037,0.972,0.84402,0.55963,0.40764,0.95549,0.0094,0.0094,0.0094
12,51.8344,0.61954,0.45497,0.98972,0.98086,0.95277,0.96155,0.83769,0.57299,0.38501,0.96384,0.00934,0.00934,0.00934
13,56.0728,0.60496,0.43758,0.97555,0.98418,0.96206,0.9664,0.84171,0.5713,0.37334,0.95417,0.00928,0.00928,0.00928
14,60.2546,0.60051,0.41857,0.96994,0.98194,0.94522,0.9574,0.82613,0.56048,0.40636,0.94438,0.00922,0.00922,0.00922
15,64.4986,0.60338,0.44557,0.97732,0.97891,0.9476,0.96959,0.84829,0.54457,0.38162,0.94036,0.00916,0.00916,0.00916
16,68.6852,0.55673,0.41408,0.95505,0.9813,0.96442,0.97546,0.85687,0.50646,0.35318,0.92842,0.0091,0.0091,0.0091
17,72.9309,0.56421,0.41443,0.97123,0.97686,0.96034,0.96739,0.84636,0.5157,0.37969,0.92994,0.00904,0.00904,0.00904
18,77.1818,0.54953,0.39639,0.95218,0.98016,0.95547,0.96278,0.85699,0.48173,0.34163,0.92062,0.00898,0.00898,0.00898
19,81.4132,0.53832,0.3981,0.94478,0.9781,0.91489,0.95438,0.82974,0.54844,0.43692,0.95694,0.00892,0.00892,0.00892
20,85.646,0.53846,0.39627,0.95744,0.97853,0.94738,0.95783,0.84963,0.50635,0.37861,0.93127,0.00886,0.00886,0.00886
21,89.9213,0.51384,0.37452,0.93906,0.98977,0.95342,0.97024,0.85618,0.49282,0.35882,0.92446,0.0088,0.0088,0.0088
22,94.1031,0.52633,0.38332,0.95004,0.98702,0.95676,0.9728,0.85614,0.48614,0.33672,0.91559,0.00874,0.00874,0.00874
23,98.3467,0.51824,0.37873,0.93448,0.98881,0.95715,0.97016,0.85561,0.49334,0.34071,0.91323,0.00868,0.00868,0.00868
